epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,372.93,1.47429,0.92169,0.92613,0.49777,0.63701,0.55363,0.24071,2.08608,1.49082,1.26405,0.0005471,0.0005471,0.0005471
144,375.48,1.36121,0.83395,0.88707,0.60546,0.64056,0.61036,0.25893,1.98624,1.5236,1.14793,0.00054215,0.00054215,0.00054215
145,378,1.47824,0.85752,0.90477,0.79202,0.63366,0.64143,0.27011,2.02058,1.55355,1.19313,0.0005372,0.0005372,0.0005372
146,380.539,1.45417,0.92709,0.87966,0.66186,0.6713,0.69791,0.30705,2.00587,1.39609,1.21446,0.00053225,0.00053225,0.00053225
147,383.16,1.47122,0.90364,0.90881,0.76373,0.62725,0.7026,0.33302,1.9598,1.27499,1.21877,0.0005273,0.0005273,0.0005273
148,385.872,1.49161,0.89994,0.90343,0.75938,0.67378,0.67103,0.30066,1.93833,1.38137,1.20643,0.00052235,0.00052235,0.00052235
149,388.467,1.44641,0.86232,0.90267,0.72999,0.61153,0.61964,0.25956,1.9873,1.49691,1.21359,0.0005174,0.0005174,0.0005174
150,391.149,1.56708,0.95007,0.93348,0.64192,0.49447,0.57508,0.26118,1.97614,1.58274,1.18026,0.00051245,0.00051245,0.00051245
151,393.733,1.48121,0.9251,0.93803,0.76685,0.53702,0.58582,0.25536,1.9706,1.64348,1.17118,0.0005075,0.0005075,0.0005075
152,396.3,1.54379,0.92223,0.93662,0.63486,0.57777,0.58971,0.2577,1.92418,1.62943,1.10691,0.00050255,0.00050255,0.00050255
153,398.852,1.4245,0.88581,0.93286,0.58276,0.70476,0.58858,0.25715,1.99025,1.53307,1.19904,0.0004976,0.0004976,0.0004976
154,401.385,1.53123,0.88829,0.92871,0.59248,0.63732,0.58703,0.26074,2.00038,1.48382,1.23257,0.00049265,0.00049265,0.00049265
155,403.857,1.49361,0.855,0.90488,0.69324,0.63732,0.63538,0.30633,2.02312,1.54595,1.22708,0.0004877,0.0004877,0.0004877
156,406.365,1.54129,0.90854,0.92758,0.55837,0.67403,0.6576,0.30791,2.01052,1.51512,1.27178,0.00048275,0.00048275,0.00048275
157,408.874,1.52549,0.90882,0.90999,0.51262,0.66609,0.62651,0.29455,2.04346,1.43294,1.26877,0.0004778,0.0004778,0.0004778
158,411.466,1.33147,0.836,0.87476,0.57729,0.70604,0.65664,0.30233,2.01688,1.38294,1.28906,0.00047285,0.00047285,0.00047285
159,413.935,1.52776,0.87822,0.88214,0.6989,0.5216,0.62971,0.27261,2.03613,1.43382,1.2771,0.0004679,0.0004679,0.0004679
160,416.447,1.45455,0.88829,0.91577,0.61315,0.59691,0.64533,0.29512,2.0117,1.45995,1.27184,0.00046295,0.00046295,0.00046295
161,418.953,1.4234,0.85088,0.9207,0.61639,0.71618,0.67326,0.29961,2.08136,1.40923,1.25744,0.000458,0.000458,0.000458
162,421.547,1.41772,0.84436,0.90956,0.765,0.72414,0.71227,0.34994,1.99247,1.25723,1.20133,0.00045305,0.00045305,0.00045305
163,424.056,1.37017,0.83205,0.89467,0.54076,0.71074,0.65385,0.29426,1.93702,1.27479,1.20358,0.0004481,0.0004481,0.0004481
164,426.571,1.51843,0.94472,0.94139,0.60218,0.49499,0.62403,0.28007,1.90555,1.50518,1.12126,0.00044315,0.00044315,0.00044315
165,429.061,1.37452,0.79743,0.87511,0.67101,0.5323,0.61038,0.2579,1.96085,1.58717,1.15707,0.0004382,0.0004382,0.0004382
166,431.564,1.52266,0.89645,0.93992,0.62848,0.55697,0.53624,0.23367,1.98958,1.52899,1.12375,0.00043325,0.00043325,0.00043325
167,434.214,1.45903,0.88458,0.92259,0.70736,0.53582,0.58938,0.25346,1.86397,1.65182,1.15293,0.0004283,0.0004283,0.0004283
168,436.715,1.33596,0.76568,0.86937,0.64679,0.54187,0.57126,0.24224,1.99144,1.81167,1.21066,0.00042335,0.00042335,0.00042335
169,439.198,1.30886,0.83636,0.9126,0.6382,0.55452,0.56942,0.2384,2.00072,1.76917,1.16191,0.0004184,0.0004184,0.0004184
170,441.698,1.43123,0.85365,0.87904,0.68989,0.58558,0.60344,0.25366,1.97162,1.67792,1.16531,0.00041345,0.00041345,0.00041345
171,444.193,1.33315,0.77244,0.88057,0.68266,0.58798,0.618,0.267,2.03658,1.63246,1.1972,0.0004085,0.0004085,0.0004085
172,446.683,1.43582,0.80241,0.90209,0.77398,0.58374,0.65204,0.30213,1.98386,1.57528,1.17375,0.00040355,0.00040355,0.00040355
173,449.209,1.4559,0.8696,0.918,0.70476,0.5724,0.614,0.27793,1.98694,1.52512,1.14759,0.0003986,0.0003986,0.0003986
